"filename", "language", "Markdown", "JSON", "JavaScript", "SQL", "comment", "blank", "total"
"c:\Users\sting\Desktop\dev\proyects\api-tech\README.md", "Markdown", 33, 0, 0, 0, 0, 16, 49
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\config\env.js", "JavaScript", 0, 0, 13, 0, 0, 1, 14
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\config\express.js", "JavaScript", 0, 0, 16, 0, 0, 2, 18
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\config\sequelize.js", "JavaScript", 0, 0, 21, 0, 0, 4, 25
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\config\server.js", "JavaScript", 0, 0, 4, 0, 0, 0, 4
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\controllers\AuthController.js", "JavaScript", 0, 0, 25, 0, 0, 4, 29
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\controllers\UserController.js", "JavaScript", 0, 0, 117, 0, 0, 16, 133
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\controllers\index.js", "JavaScript", 0, 0, 9, 0, 0, 1, 10
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\data-access\CommentDb.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\data-access\UserDb.js", "JavaScript", 0, 0, 50, 0, 0, 8, 58
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\data-access\index.js", "JavaScript", 0, 0, 6, 0, 0, 2, 8
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\errors\AuthExeption.js", "JavaScript", 0, 0, 11, 0, 0, 3, 14
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\errors\UsersExeption.js", "JavaScript", 0, 0, 11, 0, 0, 1, 12
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\errors\index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 6
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\helpers\index.js", "JavaScript", 0, 0, 4, 0, 0, 1, 5
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\helpers\validateEmail.js", "JavaScript", 0, 0, 5, 0, 0, 1, 6
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\index.js", "JavaScript", 0, 0, 18, 0, 0, 4, 22
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\jwt\index.js", "JavaScript", 0, 0, 5, 0, 0, 2, 7
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\jwt\jwt.js", "JavaScript", 0, 0, 23, 0, 6, 4, 33
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\middlewares\middleware.js", "JavaScript", 0, 0, 30, 0, 0, 11, 41
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\models\Comment.js", "JavaScript", 0, 0, 49, 0, 1, 5, 55
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\models\Like.js", "JavaScript", 0, 0, 35, 0, 1, 5, 41
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\models\Post.js", "JavaScript", 0, 0, 42, 0, 1, 5, 48
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\models\User.js", "JavaScript", 0, 0, 116, 0, 0, 3, 119
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\models\index.js", "JavaScript", 0, 0, 10, 0, 0, 1, 11
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\querys\drops-tables.sql", "SQL", 0, 0, 0, 1, 1, 1, 3
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\querys\inserts.sql", "SQL", 0, 0, 0, 30, 2, 2, 34
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\querys\tables.sql", "SQL", 0, 0, 0, 42, 0, 3, 45
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\routes\auth.routes.js", "JavaScript", 0, 0, 7, 0, 0, 5, 12
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\routes\index.js", "JavaScript", 0, 0, 7, 0, 0, 2, 9
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\routes\user.routes.js", "JavaScript", 0, 0, 15, 0, 8, 2, 25
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\tests\setup.js", "JavaScript", 0, 0, 9, 0, 0, 2, 11
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\tests\users.test.js", "JavaScript", 0, 0, 110, 0, 1, 7, 118
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\use-cases\AuthService.js", "JavaScript", 0, 0, 32, 0, 18, 15, 65
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\use-cases\UserService.js", "JavaScript", 0, 0, 43, 0, 0, 17, 60
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\use-cases\index.js", "JavaScript", 0, 0, 11, 0, 0, 1, 12
"c:\Users\sting\Desktop\dev\proyects\api-tech\package-lock.json", "JSON", 0, 5292, 0, 0, 0, 1, 5293
"c:\Users\sting\Desktop\dev\proyects\api-tech\package.json", "JSON", 0, 33, 0, 0, 9, 0, 42
"Total", "-", 33, 5325, 860, 73, 48, 159, 6498